FirmName,City,Country,WebDev,No.of Employee,Website Url
45RPM,"Washington,",DC,20%, 10 - 49,https://www.45rpm.co/?utm_source=clutch.co&utm_medium=referral
Krify Software Technologies Pvt. Ltd.,"Chigwell,",United Kingdom,20%, 50 - 249,https://krify.co/
Scio Consulting International,"Austin,",TX,20%, 50 - 249,https://sciodev.com/?utm_source=clutch&utm_medium=referral
HQSoftware,"Tallinn,",Estonia,17%, 50 - 249,http://www.hqsoftwarelab.com
Maruti Techlabs,"Ahmedabad,",India,20%, 50 - 249,http://www.marutitech.com
YouTeam,"Mountain View,",CA,40%, 10 - 49,http://www.youteam.io
Devathon,"Hyderabad,",India,40%, 10 - 49,http://devathon.com/?utm_source=clutch.co&utm_medium=referral
DB2 Limited,"Kyiv,",Ukraine,50%, 10 - 49,http://db2.io/
FullStack Labs,"Granite Bay,",CA,30%, 10 - 49,http://www.fullstacklabs.co
Bytebrand Outsourcing AG,"Steinhausen,",Switzerland,50%, 50 - 249,http://www.bytebrand.net
texol,"Cochin,",India,30%, 10 - 49,https://www.texolworld.com
ARILOT,"New York,",NY,10%, 10 - 49,https://arilot.com/
Seashore Partners,"Austin,",TX,20%, 10 - 49,https://www.seashorepartners.com/
StarNavi,"Tallinn,",Estonia,10%, 10 - 49,https://www.starnavi.io/
Povio Labs,"San Francisco,",CA,25%, 50 - 249,https://poviolabs.com
Expedition Co.,"Rancho Palos Verdes,",CA,15%, 2 - 9,http://theexpedition.co/
Alley Interactive,"New York,",NY,45%, 50 - 249,http://alley.co
Azumo,"San Francisco,",CA,20%, 10 - 49,http://azumo.co
Devvela,"Chicago,",IL,30%, 10 - 49,https://devvela.com
Pepper Square Inc.,"San Francisco,",CA,10%, 50 - 249,https://www.peppersquare.com
MWP Tech,"Moscow,",Russia,20%, 2 - 9,http://www.mwptech.com
Crystalnix,"Auckland,",New Zealand,30%, 10 - 49,http://crystalnix.com
Yellow Leaf Technologies,"Ivano- Frankivsk,",Ukraine,20%, 10 - 49,https://yellow-leaf.tech/
Secret Mission Software,"Toronto,",Canada,40%, 2 - 9,https://www.secretmission.io
Opengenica,"Vancouver,",Canada,60%, 2 - 9,https://opengenica.com
Ahex Technologies Pvt. Ltd.,",",India,20%, 50 - 249,https://ahex.co/
New Normal,"Seattle,",WA,50%, 10 - 49,https://newnormal.agency
Navyug Infosolutions,"Noida,",India,35%, 50 - 249,http://navyuginfo.com?utm_source=clutch&utm_campaign=profiles&utm_medium=profile
Technostacks Infotech Pvt Ltd,"Ahmedabad,",India,30%, 50 - 249,https://technostacks.com/
1985,"Bangalore,",India,40%, 10 - 49,http://www.1985.co.in
Equaleyes Solutions Ltd.,"London,",United Kingdom,43%, 10 - 49,https://equaleyes.com/?c1
Fortana,"Mexico City,",Mexico,55%, 2 - 9,https://fortana.co
Symmetri Marketing,"Chicago,",IL,20%, 10 - 49,https://symmetrimarketing.com
cleverti,"Lisboa,",Portugal,50%, 10 - 49,https://www.cleverti.com/
8th Light,"Chicago,",IL,35%, 50 - 249,https://8thlight.com/
Radity GmbH,"Zurich,",Switzerland,35%, 10 - 49,https://radity.com
Engineer ROI,"Southlake,",TX,70%, 2 - 9,https://engineerroi.com
Itera,"Oslo,",Norway,25%, 250 - 999,http://www.itera.no/
Infiny Webcom Pvt. Ltd.,"Navi Mumbai,",India,30%, 10 - 49,http://infinyweb.com/
7EDGE,"Bengaluru,",India,30%, 50 - 249,http://www.7edge.com/?utm_source=clutch.co&utm_medium=referral
iLeaf Solutions Pvt. Ltd.,"Kochi,",India,20%, 50 - 249,http://ileafsolutions.com
InspiLab,"Ho Chi Minh,",Vietnam,30%, 10 - 49,https://inspilab.com
Peerbits,"Ahmedabad,",India,15%, 50 - 249,http://www.peerbits.com/top-app-development-company.html
Venture Aviator,"New York,",NY,20%, 10 - 49,http://www.ventureaviator.com
EPixelSoft®,"Noida,",India,15%, 10 - 49,http://www.epixelsoft.com
Accellabs,"London,",United Kingdom,65%, 10 - 49,http://accel-labs.com/
Cubix,"Fort Lauderdale,",FL,10%, 50 - 249,https://cubix.co/aff.php
Arateg,"Minsk,",Belarus,30%, 10 - 49,http://arateg.com
Biztech IT Consultancy Pvt. Ltd.,"Ahmedabad,",India,20%, 50 - 249,https://www.biztechcs.com/
TrendLine Global,"Kyiv,",Ukraine,30%, 50 - 249,https://trendlineglobal.net/?utm_source=Clutch.co&utm_medium=Directory&utm_term=Clutch.co&utm_content=Clutch.co&utm_campaign=Clutch.co
Facet Interactive,"El Segundo,",CA,20%, 2 - 9,https://facetinteractive.com/
Doyenhub Software Solutions,"Clarksburg,",MD,20%, 50 - 249,https://www.doyenhub.com/
ElmoSoft,"Minsk,",Belarus,30%, 10 - 49,http://elmosoft.net
Bytes Technolab,"Bergenfield,",NJ,40%, 10 - 49,http://www.bytestechnolab.com
Root Codex,"Iklin,",Malta,20%, 2 - 9,https://rootcodex.com/
LookFar Labs,"New Orleans,",LA,15%, 10 - 49,http://lookfar.com/?utm_source=clutch.co&utm_medium=referral
Surge Software,"Bellevue,",WA,25%, 50 - 249,http://www.surgeforward.com
PINKDROIDS,"Zagreb,",Croatia,35%, 2 - 9,https://pinkdroids.com/
Ionixx Technologies,"Pasadena,",CA,10%, 50 - 249,https://www.ionixxtech.com/
Lounge Lizard,"New York,",NY,10%, 50 - 249,https://www.loungelizard.com/?utm_source=Clutch&utm_medium=Directory
Empire Elements,"London,",United Kingdom,15%, 50 - 249,https://www.empire-elements.co.uk/?utm_source=clutch&utm_medium=referral
Creativa Consultores,"Baypoint,",CA,25%, 50 - 249,http://www.creativaconsultores.com
SwingDev,"San Francisco,",CA,30%, 10 - 49,http://www.swingdev.io/?utm_source=clutch&utm_medium=referral
Reckonsys,"Bangalore,",India,20%, 10 - 49,http://www.reckonsys.com
Lama Media,"Wroclaw,",Poland,20%, 10 - 49,http://lama-media.com/
Concise Software,"Berlin,",Germany,10%, 50 - 249,https://concisesoftware.com/
Bitsclan Solutions,"Lahore,",Pakistan,30%, 10 - 49,https://bitsclan.com/
"EVNE Developers, LLC","Kropivnitskiy,",Ukraine,45%, 10 - 49,http://evnedev.com
Five2One,"Sydney,",Australia,15%, 10 - 49,http://www.five2one.com.au/?utm_source=clutch.co&utm_medium=referral
Danavero Inc.,"Toronto,",Canada,50%, 10 - 49,https://danavero.com/
Emerline,"Mountain View,",CA,20%, 50 - 249,https://emerline.com
Macopedia,"Poznań,",Poland,20%, 10 - 49,https://macopedia.com/
BrandHoot,"Rochester,",MN,30%, 10 - 49,http://www.brandhoot.com/
Revolve,"Katowice,",Poland,30%, 10 - 49,http://revolve.pro
"Cruxlab, Inc.","Los Angeles,",CA,20%, 10 - 49,http://www.cruxlab.com/?utm_source=clutch&utm_medium=referral
Axellero,"New York City,",NY,20%, 50 - 249,https://www.axellero.com
Agilityio,"New York,",NY,30%, 50 - 249,https://www.agilityio.com/
Ajath,"Gurugram,",India,20%, 250 - 999,http://www.ajath.com/?utm_source=clutch.co&utm_medium=referral
EltexSoft,"Kyiv,",Ukraine,15%, 10 - 49,https://eltexsoft.com
Vipra,"Noida,",India,10%, 50 - 249,https://www.viprabusiness.com/
Sparkbit,"Warsaw,",Poland,15%, 10 - 49,http://www.sparkbit.pl/?utm_source=clutch&utm_medium=referral
Stride,"New York,",NY,10%, 50 - 249,http://www.stridenyc.com
Zenetix digital production,"Dnipro,",Ukraine,50%, 2 - 9,http://zenetix.com.ua
DEGO,"Riga,",Latvia,20%, 10 - 49,http://dego.lv
Inomma,"Yerevan,",Armenia,15%, 10 - 49,http://inomma.com/
NaNLABS,"La Plata,",Argentina,10%, 10 - 49,http://www.nan-labs.com?utm_source=clutch.co&utm_medium=referral
IDEA07,"Warszawa,",Poland,20%, 10 - 49,http://www.idea07.pl
Netcore,"Riga,",Latvia,20%, 10 - 49,https://netcore.agency/
Bedouin,"Waterloo,",Canada,20%, 10 - 49,http://www.bedouin.com
Systematix Infotech Pvt. Ltd,"Charlotte,",NC,20%, 250 - 999,http://www.systematixinfotech.com/
Zapbuild,"Mohali,",India,10%, 250 - 999,https://www.zapbuild.com/
Reflexions,"New York,",NY,25%, 10 - 49,http://reflexions.co
Extyl,"Moscow,",Russia,30%, 50 - 249,http://extyl-pro.com
Vantage IO,"Hallandale Beach,",FL,20%, 10 - 49,https://www.vantageio.com/
Webtye Solutions,"New York,",NY,20%, 10 - 49,http://www.webtye.com
Input Logic,"Nanaimo,",Canada,20%, 10 - 49,http://inputlogic.ca
Scriptics Decisions,"Sibiu,",Romania,30%, 10 - 49,https://scriptics.ro
"Magnet Co, LLC","Cincinnati,",OH,30%, 2 - 9,https://magnet.co
D.Workz Interactive,"San Francisco,",CA,20%, 10 - 49,http://www.dworkz.com
HyperTrends Global Inc.,"San Diego,",CA,25%, 10 - 49,http://www.hypertrends.com
Make Directory Developers,"Boston,",MA,40%, 2 - 9,http://www.mk-dir.com
VIT Web Development Pvt. Ltd.,"Indore,",India,70%, 10 - 49,http://vitwebdevelopment.com/
Nimble AppGenie,"London,",United Kingdom,20%, 10 - 49,http://nimbleappgenie.com/?utm_source=clutch.co&utm_medium=referral
Wolf&Whale,"New York,",NY,20%, 10 - 49,https://www.wolfwhale.com/
Fluper,"Dubai,",United Arab Emirates,10%, 250 - 999,https://www.fluper.com/
Web Bespokers,"Poznań,",Poland,30%, 2 - 9,http://web-bespokers.com
OXNP GROUP,"Kyiv,",Ukraine,30%, 10 - 49,https://oxnp.com
Axon Development Group,"Kiev,",Ukraine,25%, 50 - 249,http://www.axondevgroup.com
MANGOSOFT,"Santa Monica,",CA,25%, 50 - 249,https://mangosoft.tech?utm_source=clutch.co&utm_medium=referral
devartis,"Buenos Aires,",Argentina,35%, 10 - 49,http://www.devartis.com
Signity Solutions,"Rajiv Gandhi IT Park,",India,20%, 50 - 249,http://www.signitysolutions.com/
TechnoSIP Inc,"New York City,",NY,25%, 10 - 49,http://www.technosip.com
Technosoft Solutions,"Branford,",CT,10%, 10 - 49,https://techno-soft.com/
Coshx,"Charlottesville,",VA,20%, 2 - 9,http://coshx.com
Upsilon,"Minsk,",Belarus,20%, 10 - 49,http://upsilonit.com
Ice House,"Pasadena,",CA,20%, 50 - 249,http://www.icehousecorp.com
Forebear Productions,"Indore,",India,20%, 10 - 49,http://forebearpro.com/
Evoque Innovative Lab,"Bangalore,",India,35%, 2 - 9,http://www.evoqueinnovativelab.com
Azati Software,"Livingston,",NJ,15%, 50 - 249,https://azati.com/
"Corgibytes, LLC","Ashland,",VA,20%, 10 - 49,http://corgibytes.com
4Geeks Technologies,"New York,",NY,30%, 10 - 49,https://4geeks.io
Indeform Ltd.,"Kaunas,",Lithuania,27%, 10 - 49,http://www.indeform.com
Flux Technologies Inc.,"Yerevan,",Armenia,40%, 10 - 49,http://fluxtech.me/
CodementorX,"San Francisco,",CA,50%, 10 - 49,http://hire.codementor.io
Elecsis,"Louisville,",KY,10%, 10 - 49,http://www.elecsis.co
Jellyfish Technologies,"Noida,",India,10%, 50 - 249,http://www.jellyfishtechnologies.com
Coding Sans,"Budapest,",Hungary,50%, 10 - 49,http://www.codingsans.com
SumatoSoft,"Boston,",MA,20%, 10 - 49,http://sumatosoft.com/?utm_source=clutch.co&utm_medium=referral&utm_content=main%20website&utm_campaign=Clutch
Limn Design,"Toronto,",Canada,20%, 10 - 49,https://limn.ca/?utm_source=clutch&utm_medium=referral
Velmie,"Yonkers,",NY,20%, 50 - 249,https://www.velmie.com/?utm_source=clutch.co&utm_medium=referral
Stigasoft,"Gurgaon,",India,25%, 50 - 249,http://www.stigasoft.com
InApps Technology,"Ho Chi Minh,",Vietnam,30%, 10 - 49,https://www.inapps.net/?utm_source=clutch&utm_medium=topclutch&utm_campaign=click_from_clutch
OSOS,"Vilnius,",Lithuania,30%, 10 - 49,http://osos.lt
Alvin,"Folsom,",CA,20%, Freelancer,http://alvin.im
ToXSL Technologies Pvt Ltd,"Mohali,",India,30%, 50 - 249,https://toxsl.com
THECON SRL,"Galati,",Romania,10%, 10 - 49,https://thecon.ro/en/?utm_source=clutch.co&utm_medium=referral
SWARM,"New York,",NY,20%, 10 - 49,http://swarmnyc.com
Kroon,"Belgrade,",Serbia,15%, 10 - 49,http://www.kroonstudio.com
A6 Digital,"London,",United Kingdom,40%, 10 - 49,https://a6digital.com
websmith solutions,"Mumbai,",India,20%, 10 - 49,https://www.websmithsolution.com
Mobiteam,"Berlin,",Germany,30%, 10 - 49,https://mobiteam.de/?utm_source=clutch&utm_medium=referral&utm_campaign=ad-agencies
Atharva System,"Ahmedabad,",India,25%, 50 - 249,https://www.atharvasystem.com
Art+Logic,"Pasadena,",CA,10%, 50 - 249,https://artandlogic.com/
NotionTheory,"Washington,",DC,30%, 10 - 49,http://notiontheory.com
Seota Digital Marketing,"Frisco,",TX,25%, 2 - 9,https://seota.com/?utm_source=clutch.co&utm_medium=referral
Enappd,"Bangalore,",India,20%, 10 - 49,https://enappd.com
My Web Programmer,"Atlanta,",GA,35%, 2 - 9,http://www.mywebprogrammer.com/?utm_source=clutch&utm_medium=referral
TechGropse Pvt. Ltd.,"Decatur,",GA,10%, 50 - 249,http://www.techgropse.com
DefragLabs,"Bangalore,",India,30%, 10 - 49,https://www.defraglabs.co/
"Onix-Systems, LLC","Kropyvnytskyi,",Ukraine,30%, 50 - 249,http://onix-systems.com/
EdgeCase Technology,"Berlin,",Germany,60%, 50 - 249,http://edgecase-tech.de
"Netstat Space, LTD","London,",United Kingdom,65%, 2 - 9,http://www.netstat.space
Devetry,"Denver,",CO,10%, 10 - 49,https://www.devetry.com/?utm_source=clutch&utm_medium=referral
MotionMobs,"Birmingham,",AL,25%, 2 - 9,http://motionmobs.com
iProgrammer Solutions Private Ltd.,"Pune,",India,30%, 50 - 249,http://www.iprogrammer.com
ITRex Group,"Minsk,",Belarus,20%, 50 - 249,http://itrexgroup.com
Design Planet,"Kiev,",Ukraine,40%, 2 - 9,https://designplanet.pro/en/?utm_source=clutch.co&utm_medium=referral
Vooban,"Quebec,",Canada,25%, 50 - 249,http://www.vooban.com
EC Infosolutions LLC,"Lewes, DE 19958,",DE,30%, 10 - 49,https://ecinfosolutions.com/
Waqa Studios,"Gijón,",Spain,20%, 2 - 9,https://waqastudios.com/
F5 Buddy,"Indore,",India,20%, 10 - 49,http://www.f5buddy.com/?utm_source=clutch&utm_medium=directory&utm_campaign=clutchlisting
ScrumLaunch,"Vancouver,",WA,20%, 10 - 49,https://www.scrumlaunch.com/
ESTEROX LLC,"Yerevan,",Armenia,50%, 10 - 49,https://www.esterox.am/
KanhaSoft,"Ahmedabad,",India,30%, 10 - 49,https://www.kanhasoft.com/
Innovecs,"New York,",NY,15%, 250 - 999,https://www.innovecs.com/
Zestminds,"Mohali,",India,20%, 10 - 49,https://www.zestminds.com
Hakomo,"Sofia,",Bulgaria,20%, 10 - 49,http://www.hakomo.com
Eastern Technologies,"Minsk,",Belarus,45%, 10 - 49,https://devby.co.uk
Splice Global Services Private Limited,"Gurugram,",India,30%, 10 - 49,http://www.spliceglobal.com
SayOne Technologies,"Kochi,",India,10%, 50 - 249,https://www.sayonetech.com/?utm_source=clutch.co&utm_medium=clutch-contact&utm_campaign=clutch&utm_content=company-profile
WebWorld Experts,"Chandigarh,",India,20%, 250 - 999,http://www.webworldexperts.com/
WebWorld Experts,"Chandigarh,",India,20%, 250 - 999,http://www.webworldexperts.com/
TMS Outsource,"Belgrade,",Serbia,30%, 10 - 49,https://tms-outsource.com/
Design and Test Lab,"San Francisco,",CA,30%, 10 - 49,https://www.dnt-lab.com
Buzzworthy Studio,"Brooklyn,",NY,25%, 10 - 49,https://buzzworthystudio.com
Lifeisgoodlabs,"Kiev,",Ukraine,35%, 2 - 9,https://www.lifeisgoodlabs.com
Forum One,"Alexandria,",VA,10%, 50 - 249,http://forumone.com
Prospus,"Portland,",OR,20%, 50 - 249,http://www.prospus.com
Diffco,"Sunnyvale,",CA,15%, 50 - 249,http://diffco.us
Integrio Systems,"Vancouver,",Canada,20%, 50 - 249,https://integrio.net/
Feral Studio,"San Francisco,",CA,25%, 2 - 9,https://weareferal.com/
Neural Labs,"Dnipro,",Ukraine,15%, 10 - 49,http://labsneural.com/
Chunkup,"Lviv,",Ukraine,100%, 2 - 9,http://www.chunkup.com
"bromin7, Inc.","New York,",NY,20%, 10 - 49,https://bromin7.com
Siberian.pro LLC,"Novosibirsk,",Russia,30%, 10 - 49,https://siberian.pro/en/
Shvetsov Technologies,"Nizhniy Novgorod,",Russia,60%, 2 - 9,https://shvetsov.tech/en/
Drudesk,"Lutsk,",Ukraine,50%, 50 - 249,https://drudesk.com/
Agicent App Company India,"Noida,",India,20%, 50 - 249,https://www.agicent.com/utm_source=clutch.co&utm_medium=referral
Nickelfox,"Noida,",India,10%, 50 - 249,http://www.nickelfox.com
Micra Solution,"Surat,",India,20%, 10 - 49,http://www.micrasolution.com/
Open Solutions,"Penza,",Russia,20%, 50 - 249,http://osinit.com
Webdevium,"Frisco,",TX,50%, 2 - 9,http://webdevium.com
Digitegy,"Seattle,",WA,10%, 10 - 49,https://www.digitegy.com/
Esferasoft Solutions Pvt. Ltd.,"Mohali,",India,40%, 50 - 249,https://www.esferasoft.com/
Maine Creative,"Portland,",ME,10%, 2 - 9,https://mainecreative.co
Encircl LLC,"San Francisco,",CA,10%, 50 - 249,http://www.encircl.com/
Sigmapoint,"Kraków,",Poland,20%, 10 - 49,http://www.sigmapoint.pl
Userfacet,"Bangalore,",India,15%, 10 - 49,https://www.userfacet.com
YELK,"Kharkiv,",Ukraine,30%, 10 - 49,https://yelk.com.ua/
9series Solutions Pvt. Ltd,"Ahmedabad,",India,40%, 50 - 249,http://www.9spl.com
F(x) Data Labs Pvt Ltd,"Ahmedabad,",India,10%, 10 - 49,https://htree.plus
The Moon Digital Agency,"Kiev,",Ukraine,30%, 10 - 49,https://themoon.agency/?utm_source=clutch&utm_medium=referral
Roket,"Pittsburgh,",PA,20%, 2 - 9,http://roketco.com
Computools,"Kyiv,",Ukraine,40%, 50 - 249,https://computools.com/
FIG (Formerly Hungry),"New York City,",NY,15%, 50 - 249,https://www.figagency.com/
Maven Cluster,"Indore,",India,20%, 50 - 249,http://mavencluster.com
MedRec Technologies,"London,",United Kingdom,25%, 50 - 249,https://medrectechnologies.com
Speaking Socially Media,"Great Falls,",MT,30%, 2 - 9,http://www.speakingsocially.com
Starcode,"Krasnodar,",Russia,30%, 10 - 49,http://en.starcode.ru/
Techliance,"Draper,",UT,20%, 10 - 49,https://www.techliance.com
Girnar Software (SEZ) Private Limited,"Jaipur,",India,20%," 1,000 - 9,999",http://www.girnarsez.com/
Girnar Software (SEZ) Private Limited,"Jaipur,",India,20%," 1,000 - 9,999",http://www.girnarsez.com/
Modelate,"Berlin,",Germany,25%, 10 - 49,http://www.modelateapps.com/en
Digiteum,"Minsk,",Belarus,20%, 10 - 49,http://www.digiteum.com
POWERSHiFTER,"Vancouver,",Canada,15%, 10 - 49,https://powershifter.com/
Third Rock Techkno,"Ahmedabad,",India,25%, 10 - 49,https://www.thirdrocktechkno.com/
GRSP Tech,"Atlanta,",GA,30%, 10 - 49,https://www.grsptech.com/
CREST INFOSYSTEMS PVT LTD,"Surat,",India,25%, 50 - 249,https://www.crestinfosystems.com/
1000ideas,"Kraków,",Poland,20%, 10 - 49,https://1000i.pl/en
CodeMedia 360,"Burbank,",CA,20%, 2 - 9,http://codemedia360.com
Sidnet,"Warsaw,",Poland,30%, 10 - 49,https://sidnet.info/
Itera-research,"Kharkiv,",Ukraine,30%, 10 - 49,http://www.itera-research.com/
Frogmouth Digital,"La Jolla,",CA,70%, 10 - 49,https://frogmouthdigital.com/?utm_source=clutch.co&utm_medium=referral
Amsterdam Standard,"Amsterdam,",Netherlands,15%, 50 - 249,https://amsterdamstandard.com/en
Exquisite Software,"Scottsdale,",AZ,33%, 10 - 49,http://www.exqsd.com
HiFX IT & Media Services,"Cochin,",India,40%, 50 - 249,http://www.hifx.co.in
Aglowid IT Solutions,"Ahmedabad,",India,30%, 10 - 49,https://aglowiditsolutions.com
CodeJunkie,"Walnut,",CA,22%, 10 - 49,https://www.codejunkie.co/
ClassyServe Technologies Pvt Ltd.,"Cochin,",India,20%, 2 - 9,https://www.classyserve.com
Whitesmith,"London,",United Kingdom,20%, 10 - 49,http://whitesmith.co
Sagiton,"Wrocław,",Poland,20%, 50 - 249,https://www.sagiton.pl/?utm_source=clutch.co&utm_medium=referral
Inkoniq,"Bangalore,",India,20%, 50 - 249,https://inkoniq.com/
Devopsbay,"Sopot,",Poland,20%, 10 - 49,https://devopsbay.io
9LivesData,"Warsaw,",Poland,10%, 50 - 249,http://9livesdata.com
Software Sauna,"Zagreb,",Croatia,70%, 10 - 49,http://www.softwaresauna.com
SmallWorld,"San Diego,",CA,20%, 2 - 9,http://smallworldus.com
Academy Smart,"Kharkiv,",Ukraine,10%, 50 - 249,http://academysmart.com/
DevRecords,"Lviv,",Ukraine,50%, 10 - 49,http://www.devrecords.com
Maio Software House,"Warsaw,",Poland,10%, 10 - 49,http://maiosoftwarehouse.com/
Quantum,"Kharkiv,",Ukraine,20%, 10 - 49,http://quantumobile.com
EthWorks,"Warsaw,",Poland,20%, 2 - 9,http://ethworks.io/
Thinkitive Technology Pvt Ltd,"Pune,",India,30%, 50 - 249,https://thinkitive.com/product-engineering.html
Plathanus,"Palhoca,",Brazil,20%, 10 - 49,http://www.plathanus.com.br
Hero Creative,"Seattle,",WA,25%, 10 - 49,http://www.herocreative.com/?utm_source=clutch&utm_medium=referral
Seehash Softwares Pvt. Ltd.,",",India,15%, 50 - 249,https://www.seehash.com/
Practia,"Montevideo,",Uruguay,30%, 50 - 249,http://www.practiaconsulting.com
Pathos Ethos,"Durham,",NC,15%, 10 - 49,http://pathosethos.com
MVP Factory,"Berlin,",Germany,25%, 10 - 49,https://mvpfactory.co/
Layerframe Studios,"Brooklyn,",NY,15%, 2 - 9,http://www.Layerframe.com
DevHired,"Mykolayiv,",Ukraine,30%, 10 - 49,http://devhired.com
Iterative Consulting,"Albuquerque,",NM,25%, 2 - 9,https://iterative.consulting
Wired Avenue,"San Diego,",CA,25%, 10 - 49,http://www.WiredAve.com
Clavax,"San Jose,",CA,30%, 50 - 249,https://www.clavax.com
Geniusee,"Kyiv,",Ukraine,10%, 10 - 49,https://geniusee.com/?utm_source=clutch.co&utm_medium=referral
Codism LLC,"Wilmington,",DE,35%, 10 - 49,https://codism.io/?utm_source=clutch.co&utm_medium=referral
Aluxion,"Madrid,",Spain,10%, 10 - 49,https://aluxion.com/
Hero Team,"London,",United Kingdom,45%, 2 - 9,http://heroteam.io/?utm_source=clutch&utm_campaign=main
GroupBWT,"Zaporizhia,",Ukraine,20%, 10 - 49,https://www.groupbwt.com
Capanicus,"Mohali,",India,20%, 10 - 49,https://www.capanicus.com
Syroup,"Miami,",FL,10%, 50 - 249,https://www.syroup.com
Phelix Info Solutions,"Jaipur,",India,20%, 10 - 49,http://www.phelixinfosolutions.com
Creative People,"Nea Philadelphia,",Greece,10%, 10 - 49,https://www.creativepeople.gr
DRC Systems,"Ahmedabad,",India,40%, 50 - 249,http://www.drcsystems.com
Pentoz Technology,"Kaufman,",TX,10%, 50 - 249,https://pentoz.com
LineUp,"Kharkov,",Ukraine,20%, 50 - 249,http://lineup.com.ua
MiroMind,"Warsaw,",Poland,10%, 10 - 49,https://miromind.com
FuGenX,"Bangalore,",India,20%, 50 - 249,https://fugenx.com
Ignited S.A.,"Wrocław,",Poland,10%, 10 - 49,http://www.ignited.ai
Abstract Softweb,"Santa Clara,",CA,20%, 50 - 249,http://www.abstractsoftweb.com
Vega IT Sourcing,"Novi Sad,",Serbia,20%, 50 - 249,http://www.vegaitsourcing.rs
Unstuck Labs,"Arlington,",VA,20%, 10 - 49,http://www.unstucklabs.com
XcelTec,"Ahmedabad,",India,30%, 50 - 249,https://www.xceltec.com
"VisionSnap, Inc.","Seattle,",WA,30%, 2 - 9,https://www.visionsnap.com
Civenty,"Dnipro,",Ukraine,40%, 10 - 49,http://www.civenty.com
Adgroup.sh,"Gdynia,",Poland,30%, 10 - 49,https://adgroup.sh/?utm_source=clutch.co&utm_medium=referral
EndurantDevs,"Dnipro,",Ukraine,20%, 2 - 9,https://www.endurantdevs.com/
Business Lab,"Kyiv,",Ukraine,40%, 10 - 49,http://business-lab.tech
Remedy Point Solutions,"Mountainside,",NJ,30%, 10 - 49,http://remedypointsolutions.com
Priocept,"London,",United Kingdom,20%, 10 - 49,http://priocept.com
dCloud,"Leskovac,",Serbia,20%, 10 - 49,https://dcloud.rs
Codetribe,"Novi Sad,",Serbia,20%, 10 - 49,https://codetri.be/
Appservice,"Minsk,",Belarus,35%, 10 - 49,https://appservice.by/
.wrk,"Novosibirsk,",Russia,65%, 10 - 49,http://dotwrk.com
SunDevs Inc,"Bogota,",Colombia,30%, 10 - 49,http://www.sundevs.com/
Atlasopen,"Port Melbourne,",Australia,10%, 2 - 9,https://www.atlasopen.com/
Dexlock,"Kochi,",India,10%, 50 - 249,http://www.dexlock.com
Iteora GmbH,"Meerbusch,",Germany,15%, 10 - 49,https://www.iteora.com
RGray,"Kyiv,",Ukraine,25%, 10 - 49,https://rgray.io/
Postindustria,"Richmond,",United Kingdom,30%, 50 - 249,https://postindustria.com/
Picasel,"Moscow,",Russia,15%, 10 - 49,http://picasel.agency/
Blue Copper Technologies Pvt Ltd,"Saltlake, Kolkata,",India,10%, 10 - 49,http://www.bluecoppertech.com
Picasel,"Moscow,",Russia,15%, 10 - 49,http://picasel.agency/
Blue Copper Technologies Pvt Ltd,"Saltlake, Kolkata,",India,10%, 10 - 49,http://www.bluecoppertech.com
Hestabit Technologies,"London,",United Kingdom,10%, 10 - 49,https://www.hestabit.com/
Da Vinci Studio,"Warszawa,",Poland,20%, 10 - 49,http://www.davinci-studio.com
Mahanttech Consulting Services,"Anand,",India,35%, 10 - 49,http://www.mahanttech.com
SoftART,"Plovdiv,",Bulgaria,20%, 10 - 49,http://softart.bg
smartenit,"Houten,",Netherlands,10%, 10 - 49,https://smartenitco.com/
VironIT,"Minsk,",Belarus,20%, 10 - 49,http://vironit.com
Mobile Reality,"Warsaw,",Poland,25%, 10 - 49,https://mobilereality.io
PROFSOFT,"Saratov,",Russia,15%, 10 - 49,http://profsoft.world
Woolza,"Kiev,",Ukraine,30%, 10 - 49,http://woolza.pro
Icalia Labs,"Monterrey,",Mexico,20%, 10 - 49,http://www.icalialabs.com
Solid Software Solutions,"Katowice,",Poland,30%, 10 - 49,http://solidsoftware.pl/
Fusion Team,"Taganrog,",Russia,25%, 10 - 49,http://www.fusion-team.com
Tallium Inc.,"Kyiv,",Ukraine,20%, 10 - 49,https://tallium.com/?utm_source=clutch.co&utm_medium=referral
Relia Software,"Ho Chi Minh City,",Vietnam,25%, 10 - 49,https://www.reliasoftware.com/
SECL Group,"Kiev,",Ukraine,20%, 10 - 49,https://seclgroup.com/
Terasol Technologies,"Greater Noida,",India,20%, 10 - 49,https://www.terasoltechnologies.com/?utm_source=clutch&utm_medium=referral
Backbone Technology,"Vancouver,",Canada,35%, 10 - 49,http://www.backbone.digital
SDD-TECHNOLOGY,"Odessa,",Ukraine,10%, 10 - 49,https://sdd-technology.com/
Novatore Solutions Pvt. Ltd.,"McClure,",VA,10%, 50 - 249,http://www.novatoresols.com/
"Jinn, Inc.","Boston,",MA,20%, 10 - 49,http://www.jinn.tech
Aterise,",",,30%, 50 - 249,http://www.aterise.com
Lemosys Infotech,"Indore,",India,30%, 50 - 249,http://www.lemosys.com
Orpiv,"Baramulla,",India,30%, 10 - 49,http://www.orpiv.com
j:Mind.Systems,"Kyiv,",Ukraine,10%, 10 - 49,https://jmind.systems
